class_id,precision,recall,f1_score,support,accuracy
0,1.0,0.9,0.9473684210526315,20.0,0.9
1,1.0,1.0,1.0,15.0,1.0
2,0.9411764705882353,1.0,0.9696969696969697,16.0,1.0
3,0.9166666666666666,0.8461538461538461,0.88,13.0,0.8461538461538461
4,1.0,1.0,1.0,16.0,1.0
5,0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0,0.7142857142857143
6,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0,0.9545454545454546
7,0.8095238095238095,0.8947368421052632,0.85,19.0,0.8947368421052632
8,0.9,0.9473684210526315,0.9230769230769231,19.0,0.9473684210526315
9,0.9444444444444444,1.0,0.9714285714285714,17.0,1.0
10,0.75,0.9,0.8181818181818182,10.0,0.9
11,0.782608695652174,0.9,0.8372093023255814,20.0,0.9
12,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0,0.8666666666666667
13,1.0,0.9444444444444444,0.9714285714285714,18.0,0.9444444444444444
14,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0,0.9333333333333333
15,0.9047619047619048,0.8636363636363636,0.8837209302325582,22.0,0.8636363636363636
16,0.8636363636363636,0.9047619047619048,0.8837209302325582,21.0,0.9047619047619048
17,0.95,0.95,0.95,20.0,0.95
18,1.0,0.9,0.9473684210526315,10.0,0.9
19,0.8,0.9523809523809523,0.8695652173913043,21.0,0.9523809523809523
20,1.0,0.9,0.9473684210526315,20.0,0.9
21,0.9411764705882353,1.0,0.9696969696969697,16.0,1.0
22,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,0.8333333333333334
23,1.0,1.0,1.0,7.0,1.0
24,0.9444444444444444,1.0,0.9714285714285714,17.0,1.0
25,0.85,0.85,0.85,20.0,0.85
26,0.84,0.9545454545454546,0.8936170212765957,22.0,0.9545454545454546
27,0.8666666666666667,0.7647058823529411,0.8125,17.0,0.7647058823529411
28,1.0,0.7272727272727273,0.8421052631578947,22.0,0.7272727272727273
29,0.8666666666666667,0.8125,0.8387096774193549,16.0,0.8125
30,1.0,0.9375,0.967741935483871,16.0,0.9375
31,1.0,1.0,1.0,16.0,1.0
32,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0,0.9333333333333333
33,1.0,0.9333333333333333,0.9655172413793104,15.0,0.9333333333333333
34,1.0,0.95,0.9743589743589743,20.0,0.95
35,0.8235294117647058,0.8235294117647058,0.8235294117647058,17.0,0.8235294117647058
36,0.9333333333333333,0.875,0.9032258064516129,16.0,0.875
37,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0,0.8461538461538461
38,0.9333333333333333,1.0,0.9655172413793104,14.0,1.0
39,0.85,1.0,0.918918918918919,17.0,1.0
40,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0,0.9285714285714286
41,0.7692307692307693,0.8333333333333334,0.8,12.0,0.8333333333333334
42,1.0,1.0,1.0,16.0,1.0
43,0.875,0.875,0.875,16.0,0.875
44,1.0,1.0,1.0,15.0,1.0
45,0.9090909090909091,1.0,0.9523809523809523,20.0,1.0
46,0.875,0.7368421052631579,0.8,19.0,0.7368421052631579
47,0.8095238095238095,0.8947368421052632,0.85,19.0,0.8947368421052632
48,0.7,0.7777777777777778,0.7368421052631579,18.0,0.7777777777777778
49,1.0,0.9375,0.967741935483871,16.0,0.9375
50,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0,0.9230769230769231
51,1.0,1.0,1.0,20.0,1.0
52,0.9545454545454546,1.0,0.9767441860465116,21.0,1.0
53,0.8636363636363636,0.95,0.9047619047619048,20.0,0.95
54,0.8333333333333334,0.8823529411764706,0.8571428571428571,17.0,0.8823529411764706
55,1.0,1.0,1.0,15.0,1.0
56,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0,0.9333333333333333
57,1.0,0.875,0.9333333333333333,16.0,0.875
58,1.0,0.8125,0.896551724137931,16.0,0.8125
59,0.8235294117647058,0.7368421052631579,0.7777777777777778,19.0,0.7368421052631579
60,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0,0.9230769230769231
61,0.9411764705882353,0.8888888888888888,0.9142857142857143,18.0,0.8888888888888888
62,0.7777777777777778,0.9333333333333333,0.8484848484848485,15.0,0.9333333333333333
63,0.9545454545454546,1.0,0.9767441860465116,21.0,1.0
64,0.95,0.9047619047619048,0.926829268292683,21.0,0.9047619047619048
65,0.9333333333333333,0.875,0.9032258064516129,16.0,0.875
66,0.7619047619047619,0.7619047619047619,0.7619047619047619,21.0,0.7619047619047619
67,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0,0.9411764705882353
68,1.0,0.7142857142857143,0.8333333333333334,14.0,0.7142857142857143
69,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0,0.9333333333333333
70,1.0,1.0,1.0,16.0,1.0
71,0.9411764705882353,1.0,0.9696969696969697,16.0,1.0
72,1.0,1.0,1.0,8.0,1.0
73,1.0,0.8235294117647058,0.9032258064516129,17.0,0.8235294117647058
74,0.8125,0.8125,0.8125,16.0,0.8125
75,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091
76,0.8695652173913043,0.9523809523809523,0.9090909090909091,21.0,0.9523809523809523
